Club            ,League             ,Position ,Player                ,Statscore
Paris S-G       ,fr Ligue 1         ,FW       ,Kylian Mbappé         ,7.6815502157191204
Napoli          ,it Serie A         ,FW       ,Khvicha Kvaratskhelia ,6.619300114496181
Real Madrid     ,es La Liga         ,FW       ,Karim Benzema         ,6.491802422638731
Napoli          ,it Serie A         ,FW       ,Victor Osimhen        ,6.490609835334004
Manchester City ,eng Premier League ,FW       ,Erling Haaland        ,6.357086084546312
Paris S-G       ,fr Ligue 1         ,FWMF     ,Lionel Messi          ,6.3485287360354805
Liverpool       ,eng Premier League ,FW       ,Darwin Núñez          ,6.312133055492379
Monaco          ,fr Ligue 1         ,FW       ,Wissam Ben Yedder     ,6.0775001737631325
Barcelona       ,es La Liga         ,FW       ,Robert Lewandowski    ,5.991131848416326
Real Madrid     ,es La Liga         ,FW       ,Rodrygo               ,5.988983355125587
Reims           ,fr Ligue 1         ,FW       ,Folarin Balogun       ,5.849547880256225
Sassuolo        ,it Serie A         ,FW       ,Armand Lauriente      ,5.615634202366489
Fulham          ,eng Premier League ,FW       ,Aleksandar Mitrović   ,5.5935275430970774
Eint Frankfurt  ,de Bundesliga      ,FW       ,Randal Kolo Muani     ,5.388696949880381
Lazio           ,it Serie A         ,FW       ,Ciro Immobile         ,5.31744256222149
Barcelona       ,es La Liga         ,FW       ,Raphinha              ,5.31038559583656
RB Leipzig      ,de Bundesliga      ,FWMF     ,Christopher Nkunku    ,5.242811711108952
Atalanta        ,it Serie A         ,FWMF     ,Ademola Lookman       ,5.182734160545335
Freiburg        ,de Bundesliga      ,FW       ,Michael Gregoritsch   ,5.171851431045212
Lens            ,fr Ligue 1         ,FW       ,Loïs Openda           ,5.129531012761976
M'Gladbach      ,de Bundesliga      ,FW       ,Marcus Thuram         ,5.098637660350485
Brentford       ,eng Premier League ,FW       ,Ivan Toney            ,5.059383946508725
Real Madrid     ,es La Liga         ,FW       ,Vinicius Júnior       ,5.035394675780927
Inter           ,it Serie A         ,FW       ,Lautaro Martínez      ,5.010283917723015
Lyon            ,fr Ligue 1         ,FW       ,Alexandre Lacazette   ,5.009283346268621
Lille           ,fr Ligue 1         ,FW       ,Jonathan David        ,4.950655480882192
Tottenham       ,eng Premier League ,FW       ,Harry Kane            ,4.869981549113938
Liverpool       ,eng Premier League ,FW       ,Mohamed Salah         ,4.7954641336641615
Atlético Madrid ,es La Liga         ,FW       ,Álvaro Morata         ,4.77987744322598
Milan           ,it Serie A         ,FWMF     ,Rafael Leão           ,4.616610759353981
Werder Bremen   ,de Bundesliga      ,FW       ,Niclas Füllkrug       ,4.589963685135943
Atlético Madrid ,es La Liga         ,FWMF     ,Antoine Griezmann     ,4.503255774032852
Strasbourg      ,fr Ligue 1         ,FW       ,Habib Diallo          ,4.487615810105737
Roma            ,it Serie A         ,FW       ,Tammy Abraham         ,4.481288735474711
Espanyol        ,es La Liga         ,FW       ,Joselu                ,4.444667178740208
RB Leipzig      ,de Bundesliga      ,FW       ,André Silva           ,4.432871547391322
Arsenal         ,eng Premier League ,FW       ,Bukayo Saka           ,4.384914198390723
Nice            ,fr Ligue 1         ,FW       ,Gaëtan Laborde        ,4.383237636158606
Leverkusen      ,de Bundesliga      ,FWMF     ,Moussa Diaby          ,4.377468920001425
Monaco          ,fr Ligue 1         ,FW       ,Breel Embolo          ,4.371107152746514
Arsenal         ,eng Premier League ,FW       ,Martinelli            ,4.3129433091247815
Manchester City ,eng Premier League ,FW       ,Phil Foden            ,4.311297719339418
Werder Bremen   ,de Bundesliga      ,FW       ,Marvin Ducksch        ,4.307540594517137
Marseille       ,fr Ligue 1         ,FW       ,Alexis Sánchez        ,4.241638001927214
Manchester Utd  ,eng Premier League ,FW       ,Marcus Rashford       ,4.2267759216073335
Juventus        ,it Serie A         ,FW       ,Dušan Vlahović        ,4.149586378367872
Troyes          ,fr Ligue 1         ,FW       ,Mama Samba Baldé      ,4.09023699454561
Lens            ,fr Ligue 1         ,FWMF     ,Florian Sotoca        ,4.072670504765468
Mainz 05        ,de Bundesliga      ,FWMF     ,Karim Onisiwo         ,4.051951304142544
Nantes          ,fr Ligue 1         ,FW       ,Mostafa Mohamed       ,3.9978236564461613