Club           ,League             ,Position ,Player                         ,Statscore
Valladolid     ,es La Liga         ,MF       ,Kike Pérez                     ,1.5069687565361065
Monaco         ,fr Ligue 1         ,MF       ,Youssouf Fofana                ,1.6551059089013536
Rennes         ,fr Ligue 1         ,MF       ,Flavien Tait                   ,1.7819889590766003
Brest          ,fr Ligue 1         ,MF       ,Hugo Magnetti                  ,1.7962385753324976
Salernitana    ,it Serie A         ,MF       ,Lassana Coulibaly              ,1.941391627824222
Marseille      ,fr Ligue 1         ,MF       ,Valentin Rongier               ,1.9992228052147951
Paris S-G      ,fr Ligue 1         ,MFFW     ,Neymar                         ,2.050835080413257
Nantes         ,fr Ligue 1         ,MF       ,Samuel Moutoussamy             ,2.0724636902052054
Troyes         ,fr Ligue 1         ,MF       ,Rominigue Kouamé               ,2.4795143243812467
Toulouse       ,fr Ligue 1         ,MF       ,Brecht Dejaegere               ,2.5162089078730725
Leicester City ,eng Premier League ,MF       ,Kiernan Dewsbury-Hall          ,2.622389466117089
Juventus       ,it Serie A         ,MF       ,Adrien Rabiot                  ,2.7131418734727117
Lorient        ,fr Ligue 1         ,MF       ,Enzo Le Fée                    ,2.7581021876480487
Lille          ,fr Ligue 1         ,MFFW     ,Rémy Cabella                   ,3.0228028047439093
Sassuolo       ,it Serie A         ,MF       ,Davide Frattesi                ,3.0714146459617413
Real Madrid    ,es La Liga         ,MFDF     ,Eduardo Camavinga              ,3.2909930171080704
Nantes         ,fr Ligue 1         ,MF       ,Moussa Sissoko                 ,3.3454593124639427
Mallorca       ,es La Liga         ,MFFW     ,Lee Kangin                     ,3.4030419564623955
Valencia       ,es La Liga         ,MF       ,Domingos André Ribeiro Almeida ,3.4292873247963276
Crystal Palace ,eng Premier League ,MFFW     ,Eberechi Eze                   ,3.499845971220328
Reims          ,fr Ligue 1         ,MF       ,Marshall Munetsi               ,3.5049499322454016
Clermont Foot  ,fr Ligue 1         ,MF       ,Saîf-Eddine Khaoui             ,3.7263435056856555
M'Gladbach     ,de Bundesliga      ,MF       ,Kouadio Koné                   ,3.7736629179230152
Hertha BSC     ,de Bundesliga      ,MF       ,Suat Serdar                    ,4.045296717622796
Espanyol       ,es La Liga         ,MF       ,Sergi Darder                   ,4.058946384337023
Marseille      ,fr Ligue 1         ,MF       ,Mattéo Guendouzi               ,4.075651771617924
Troyes         ,fr Ligue 1         ,MFFW     ,Rony Lopes                     ,4.123527837213379
Inter          ,it Serie A         ,MF       ,Nicolò Barella                 ,4.156480678600534
Roma           ,it Serie A         ,MFFW     ,Paulo Dybala                   ,4.176854739254026
Mallorca       ,es La Liga         ,MF       ,Dani Rodríguez                 ,4.309189422182789