Club            ,League             ,Position ,Player               ,Statscore
Leverkusen      ,de Bundesliga      ,MFFW     ,Florian Wirtz        ,6.284466617477387
Bayern Munich   ,de Bundesliga      ,MF       ,Jamal Musiala        ,5.485005797878041
Monaco          ,fr Ligue 1         ,MFFW     ,Eliesse Ben Seghir   ,4.843133090059118
Villarreal      ,es La Liga         ,MF       ,Alex Baena           ,4.828001594400445
Chelsea         ,eng Premier League ,MF       ,Cole Palmer          ,4.784553644834275
Atalanta        ,it Serie A         ,MFFW     ,Charles De Ketelaere ,4.656885233533916
Wolves          ,eng Premier League ,MFFW     ,Matheus Cunha        ,4.590074171526506
Tottenham       ,eng Premier League ,MFFW     ,Dejan Kulusevski     ,4.46442278246144
Manchester Utd  ,eng Premier League ,MFFW     ,Alejandro Garnacho   ,4.439258905697879
Manchester City ,eng Premier League ,MFFW     ,Phil Foden           ,4.388827492639287
Bournemouth     ,eng Premier League ,MFFW     ,Justin Kluivert      ,4.204988247193696
RB Leipzig      ,de Bundesliga      ,MF       ,Xavi Simons          ,4.1859519352956935
Paris S-G       ,fr Ligue 1         ,MFDF     ,João Neves           ,4.141176230831331
Liverpool       ,eng Premier League ,MF       ,Dominik Szoboszlai   ,4.132871807384808
Como            ,it Serie A         ,MFFW     ,Nicolás Paz          ,4.1078228837771
Real Sociedad   ,es La Liga         ,MFFW     ,Takefusa Kubo        ,4.048639731058512
Strasbourg      ,fr Ligue 1         ,MFFW     ,Dilane Bakwa         ,4.016786683743933
Barcelona       ,es La Liga         ,MF       ,Pedri                ,3.85396554461787
Werder Bremen   ,de Bundesliga      ,MF       ,Romano Schmid        ,3.8073394771176514
Celta Vigo      ,es La Liga         ,MFDF     ,Hugo Álvarez         ,3.763380051676365
Real Madrid     ,es La Liga         ,MF       ,Jude Bellingham      ,3.7484382408895565
Chelsea         ,eng Premier League ,MF       ,Enzo Fernández       ,3.727285071241962
Stuttgart       ,de Bundesliga      ,MFFW     ,Enzo Millot          ,3.7059039196176173
Toulouse        ,fr Ligue 1         ,MFFW     ,Yann Gboho           ,3.6752252144917796
Nott'ham Forest ,eng Premier League ,MF       ,Morgan Gibbs-White   ,3.624293024374275
Athletic Club   ,es La Liga         ,MF       ,Oihan Sancet         ,3.551638658330892
Brentford       ,eng Premier League ,MFFW     ,Mikkel Damsgaard     ,3.5293898650397733
West Ham        ,eng Premier League ,MFFW     ,Mohammed Kudus       ,3.417559730441205
Auxerre         ,fr Ligue 1         ,MF       ,Hamed Junior Traorè  ,3.373490431941508
Monaco          ,fr Ligue 1         ,MF       ,Lamine Camara        ,3.3075987765081347
Aston Villa     ,eng Premier League ,MFFW     ,Morgan Rogers        ,3.302842945574156
Brighton        ,eng Premier League ,MFFW     ,Georginio Rutter     ,3.282453464934001
Celta Vigo      ,es La Liga         ,MFDF     ,Óscar Mingueza       ,3.20572700517517
Fulham          ,eng Premier League ,MF       ,Emile Smith Rowe     ,3.1810449706539536
Toulouse        ,fr Ligue 1         ,MFFW     ,Zakaria Aboukhlal    ,3.0263896996134947
Mainz 05        ,de Bundesliga      ,MF       ,Paul Nebel           ,2.990212829030727
RB Leipzig      ,de Bundesliga      ,MFDF     ,Antonio Nusa         ,2.961172987449282
Hoffenheim      ,de Bundesliga      ,MFFW     ,Tom Bischof          ,2.9290826202592424
Real Sociedad   ,es La Liga         ,MFDF     ,Sergio Gómez         ,2.9182310079999714
Valencia        ,es La Liga         ,MFFW     ,Diego López          ,2.902374250055834