Paris S-G,Neymar\Neymar,8.280254777070065
Barcelona,Lionel Messi\Lionel-Messi,7.1726190476190474
Manchester City,Kevin De Bruyne\Kevin-De-Bruyne,6.396396396396397
Paris S-G,Ángel Di María\Angel-Di-Maria,6.213592233009709
RB Leipzig,Christopher Nkunku\Christopher-Nkunku,6.190476190476191
Aston Villa,Jack Grealish\Jack-Grealish,6.172839506172839
Atalanta,Josip Iličić\Josip-Ilicic,6.0588235294117645
Atalanta,Ruslan Malinovskyi\Ruslan-Malinovskyi,6.0576923076923075
Milan,Hakan Çalhanoğlu\Hakan-Calhanoglu,6
Dortmund,Jadon Sancho\Jadon-Sancho,5.458515283842795
Montpellier,Téji Savanier\Teji-Savanier,5.228215767634855
Lyon,Houssem Aouar\Houssem-Aouar,5.101010101010101
Chelsea,Mason Mount\Mason-Mount,5.077881619937695
Lazio,Luis Alberto\Luis-Alberto,4.948453608247423
Saint-Étienne,Adil Aouchiche\Adil-Aouchiche,4.895833333333334
Manchester Utd,Bruno Fernandes\Bruno-Fernandes,4.883720930232558
Bayern Munich,Thomas Müller\Thomas-Muller,4.814814814814815
Bayern Munich,Joshua Kimmich\Joshua-Kimmich,4.795081967213115
Betis,Nabil Fekir\Nabil-Fekir,4.742268041237113
Metz,Farid Boulaya\Farid-Boulaya,4.728434504792332
Sassuolo,Domenico Berardi\Domenico-Berardi,4.6909090909090905
Brest,Romain Faivre\Romain-Faivre,4.672897196261682
Sassuolo,Filip Đuričić\Filip-Djuricic,4.632034632034632
Freiburg,Vincenzo Grifo\Vincenzo-Grifo,4.63035019455253
Lorient,Armand Lauriente\Armand-Lauriente,4.611111111111111
Udinese,Rodrigo De Paul\Rodrigo-De-Paul,4.606741573033708
Real Madrid,Toni Kroos\Toni-Kroos,4.553191489361702
Juventus,Juan Cuadrado\Juan-Cuadrado,4.545454545454546
Bayern Munich,Kingsley Coman\Kingsley-Coman,4.512820512820513
Leicester City,James Maddison\James-Maddison,4.506437768240343
Aston Villa,Ross Barkley\Ross-Barkley,4.411764705882353
Hertha BSC,Matheus Cunha\Matheus-Cunha,4.393305439330544
Juventus,Dejan Kulusevski\Dejan-Kulusevski,4.392523364485982
RB Leipzig,Emil Forsberg\Emil-Forsberg,4.385964912280701
Torino,Simone Verdi\Simone-Verdi,4.333333333333333
Roma,Lorenzo Pellegrini\Lorenzo-Pellegrini,4.325259515570934
Bayern Munich,Serge Gnabry\Serge-Gnabry,4.316939890710382
Bayern Munich,Leroy Sané\Leroy-Sane,4.278606965174129
RB Leipzig,Dani Olmo\Dani-Olmo,4.262295081967213
M'Gladbach,Jonas Hofmann\Jonas-Hofmann,4.207920792079208
Marseille,Dimitri Payet\Dimitri-Payet,4.163568773234201
Leeds United,Raphael Dias Belloli\Raphael-Dias-Belloli,4.1603053435114505
Real Sociedad,David Silva\David-Silva,4.129032258064516
Leverkusen,Leon Bailey\Leon-Bailey,4.117647058823529
Eint Frankfurt,Daichi Kamada\Daichi-Kamada,4.0458015267175576
Dortmund,Julian Brandt\Julian-Brandt,4.036144578313253
Stuttgart,Gonzalo Castro\Gonzalo-Castro,4.010416666666667
Brighton,Pascal Groß\Pascal-Gross,3.9855072463768115
Nice,Amine Gouiri\Amine-Gouiri,3.9672131147540983
Napoli,Dries Mertens\Dries-Mertens,3.9506172839506175